country,iso3,g_whoregion,year,indicator,value
Cambodia,KHM,WPR,2018,e_inc_100k,308.0
Cambodia,KHM,WPR,2019,e_inc_100k,287.0
Cambodia,KHM,WPR,2020,e_inc_100k,280.0
Cambodia,KHM,WPR,2021,e_inc_100k,285.0
Cambodia,KHM,WPR,2022,e_inc_100k,321.0
Cambodia,KHM,WPR,2023,e_inc_100k,335.0
Indonesia,IDN,WPR,2018,e_inc_100k,316.0
Indonesia,IDN,WPR,2019,e_inc_100k,312.0
Indonesia,IDN,WPR,2020,e_inc_100k,302.0
Indonesia,IDN,WPR,2021,e_inc_100k,342.0
Indonesia,IDN,WPR,2022,e_inc_100k,386.0
Indonesia,IDN,WPR,2023,e_inc_100k,387.0
Lao People's Democratic Republic,LAO,WPR,2018,e_inc_100k,162.0
Lao People's Democratic Republic,LAO,WPR,2019,e_inc_100k,155.0
Lao People's Democratic Republic,LAO,WPR,2020,e_inc_100k,149.0
Lao People's Democratic Republic,LAO,WPR,2021,e_inc_100k,143.0
Lao People's Democratic Republic,LAO,WPR,2022,e_inc_100k,138.0
Lao People's Democratic Republic,LAO,WPR,2023,e_inc_100k,132.0
Malaysia,MYS,WPR,2018,e_inc_100k,92.0
Malaysia,MYS,WPR,2019,e_inc_100k,92.0
Malaysia,MYS,WPR,2020,e_inc_100k,90.0
Malaysia,MYS,WPR,2021,e_inc_100k,97.0
Malaysia,MYS,WPR,2022,e_inc_100k,111.0
Malaysia,MYS,WPR,2023,e_inc_100k,122.0
Myanmar,MMR,SEA,2018,e_inc_100k,338.0
Myanmar,MMR,SEA,2019,e_inc_100k,322.0
Myanmar,MMR,SEA,2020,e_inc_100k,312.0
Myanmar,MMR,SEA,2021,e_inc_100k,362.0
Myanmar,MMR,SEA,2022,e_inc_100k,477.0
Myanmar,MMR,SEA,2023,e_inc_100k,558.0
Philippines,PHL,WPR,2018,e_inc_100k,554.0
Philippines,PHL,WPR,2019,e_inc_100k,554.0
Philippines,PHL,WPR,2020,e_inc_100k,535.0
Philippines,PHL,WPR,2021,e_inc_100k,583.0
Philippines,PHL,WPR,2022,e_inc_100k,627.0
Philippines,PHL,WPR,2023,e_inc_100k,643.0
Singapore,SGP,WPR,2018,e_inc_100k,48.0
Singapore,SGP,WPR,2019,e_inc_100k,42.0
Singapore,SGP,WPR,2020,e_inc_100k,48.0
Singapore,SGP,WPR,2021,e_inc_100k,51.0
Singapore,SGP,WPR,2022,e_inc_100k,54.0
Singapore,SGP,WPR,2023,e_inc_100k,42.0
Thailand,THA,SEA,2018,e_inc_100k,153.0
Thailand,THA,SEA,2019,e_inc_100k,150.0
Thailand,THA,SEA,2020,e_inc_100k,143.0
Thailand,THA,SEA,2021,e_inc_100k,141.0
Thailand,THA,SEA,2022,e_inc_100k,149.0
Thailand,THA,SEA,2023,e_inc_100k,157.0
Timor-Leste,TLS,SEA,2018,e_inc_100k,498.0
Timor-Leste,TLS,SEA,2019,e_inc_100k,498.0
Timor-Leste,TLS,SEA,2020,e_inc_100k,498.0
Timor-Leste,TLS,SEA,2021,e_inc_100k,498.0
Timor-Leste,TLS,SEA,2022,e_inc_100k,498.0
Timor-Leste,TLS,SEA,2023,e_inc_100k,498.0
Viet Nam,VNM,WPR,2018,e_inc_100k,182.0
Viet Nam,VNM,WPR,2019,e_inc_100k,176.0
Viet Nam,VNM,WPR,2020,e_inc_100k,172.0
Viet Nam,VNM,WPR,2021,e_inc_100k,169.0
Viet Nam,VNM,WPR,2022,e_inc_100k,178.0
